,text,count
1241,角落,7
1242,挑釁,1
1243,開球,1
1244,苦頭,1
1245,綠色,1
1246,地平線,2
1247,沒辦法,6
1248,出差錯,4
1249,始終,14
1250,九號,4
1251,從前,5
1252,書包,3
1253,未來,48
1254,凝視,2
1255,白球,1
1256,暫時,14
1257,天空,42
1258,漸漸,3
1259,爬滿,1
1260,球桌,1
1261,結果,4
1262,難以,1
1263,捉摸,1
1264,瑪莎,7
1265,冬天,7
1266,子彈,4
1267,軀殼,9
1268,人們,24
1269,搖頭,4
1270,跟著,11
1271,作夢,10
1272,和平,4
1273,猜忌,5
1274,戰火,4
1275,消失,22
1276,紅豆,3
1277,宇宙,13
1278,吉他,21
1279,對抗,3
1280,萬千,4
1281,炮火,3
1282,遊戲,7
1283,出糗,3
1284,攝影棚,3
1285,怪獸,20
1286,石頭,9
1287,默默,10
1288,廁所,3
1289,披頭,7
1290,最近,8
1291,快要,4
1292,窒息,1
1293,黏膩,1
1294,踩到,1
1295,陷阱,3
1296,飛簷走壁,5
1297,常常,7
1298,手機,9
1299,打到,3
1300,火星,3
1301,回應,3
1302,科技,3
1303,始於,3
1304,人性,4
1305,可是,8
1306,摸到,3
1307,蚱蜢,3
1308,後勁,3
1309,REPEAT,2
1310,地心,5
1311,引力,4
1312,飛上,7
1313,歌聲,2
1314,哽咽,1
1315,少年,6
1316,征服,4
1317,無聲,11
1318,黑暗,8
1319,光線,5
1320,絕對,15
1321,融化成,4
1322,笑顏,6
1323,煙火,9
1324,上演,2
1325,回歸,1
1326,足跡,3
1327,浪花,4
1328,沖走,1
1329,海岸線,1
1330,冷卻,3
1331,碎裂,1
1332,場景,10
1333,安靜,5
1334,往事,1
1335,手心,9
1336,著迷,1
1337,傷痕,10
1338,變成,43
1339,空座椅,1
1340,亮起,1
1341,虛幻,1
1342,情境,1
1343,好不容易,2
1344,說服,1
1345,懊惱,1
1346,侵襲,1
1347,重來,4
1348,不行,4
1349,再一次,9
1350,放回去,1
1351,付出,3
1352,所有,15
1353,時光機,1
1354,對不起,1
1355,獨自,9
1356,空氣,14
1357,輕盈,1
1358,背後,1
1359,緩緩,1
1360,很多,15
1361,荒唐,4
1362,阿信,25
1363,晚安,11
1364,離別,2
1365,聽說,4
1366,一萬,6
1367,排隊,1
1368,晚上,3
1369,你們,17
1370,OVER,1
1371,五月,3
1372,五月天,6
1373,一眨眼,7
1374,英國,1
1375,回來,26
1376,諺明,4
1377,美國,1
1378,留長,1
1379,這邊,5
1380,聲好,1
1381,分批,1
1382,好看,1
1383,台區,1
1384,搖滾區,2
1385,體育場,4
1386,狀況,3
1387,四萬,3
1388,市立,3
1389,等一下,1
1390,忘記,8
1391,樂器,1
1392,能夠,16
1393,重回,5
1394,謝謝,13
1395,演唱會,7
1396,開場,1
1397,蓋手印,2
1398,問問,1
1399,說話,2
1400,時刻,7
1401,非常,2
1402,家人,4
1403,原始,2
1404,的話,2
1405,專輯,1
1406,168,2
1407,舞台,6
1408,掌聲,2
1409,歡呼聲,1
1410,尖叫聲,1
1411,比不過,1
1412,怎麼說,4
1413,度過,2
1414,高興,2
1415,遵守,1
1416,現場,2
1417,許下,1
1418,8月,1
1419,16號,1
1420,場地,1
1421,團聚,1
1422,借用,1
1423,自私,1
1424,事情,9
1425,母親,2
1426,禱告,2
1427,媽媽,9
1428,好樣,3
1429,祈禱,6
1430,歌迷,1
1431,加油,1
1432,加錯,1
1433,江湖,6
1434,心不由己,3
1435,粘膩,3
1436,踏破,3
1437,天地,7
1438,上天,2
1439,脾氣,2
1440,對待,2
1441,凸槌,2
1442,牽拖,2
1443,壞人,2
1444,好命,2
1445,坐車,2
1446,洗碗,2
1447,欺負,5
1448,拚命,2
1449,為了,16
1450,緣分,2
1451,靠山,4
1452,心聲,2
1453,影傷,1
1454,想到,5
1455,溫泉,1
1456,頭暈目暗,1
1457,軀汗,1
1458,同時,1
1459,微笑,11
1460,一時之間,1
1461,之中,1
1462,錯錯,10
1463,錯錯錯,5
1464,宜靜,1
1465,嫁給,1
1466,大雄,1
1467,崩落,1
1468,同意,2
1469,不如,7
1470,開玩笑,1
1471,幽默,4
1472,搞錯,1
1473,俠女,1
1474,天關,1
1475,尾曲,1
1476,感情,1
1477,杯底,1
1478,呼乾,2
1479,飲呼乾,4
1480,攏飲,1
1481,怨嘆,1
1482,啦啦啦啦啦,9
1483,劃破,1
1484,流星,2
1485,電光,1
1486,石火,1
1487,淚水,16
1488,人人,1
1489,難道,15
1490,童年,1
1491,唱遊,1
1492,轉眼,12
1493,惆悵,1
1494,逗留,2
1495,多重,1
1496,刮起,1
1497,狂風,3
1498,飛走,1
1499,覆蓋,3
1500,沙漠,1
1501,溶化,1
1502,綠洲,1
1503,倒退,5
1504,狼狽,4
1505,傷悲,7
1506,逃離,14
1507,莫名,8
1508,想好,14
1509,挽回,6
1510,夏夜,2
1511,晚風,5
1512,愛恨,4
1513,腳底,2
1514,身旁,15
1515,心傷,1
1516,回家,8
1517,心疼,2
1518,悲傷,14
1519,遺忘,21
1520,戰鬥,7
1521,停出,5
1522,超越,7
1523,風雨刀槍,5
1524,冷笑話,2
1525,巧克力糖,2
1526,收藏,10
1527,睡覺,3
1528,白髮,7
1529,公園,4
1530,長椅,2
1531,足夠,9
1532,輝煌,4
1533,廣告版,1
1534,by,1
1535,紅著,1
1536,眼框,1
1537,蘇格蘭,1
1538,笛聲,1
1539,印度式,1
1540,頹廢,1
1541,蛇人,1
1542,捆成,1
1543,可憐,2
1544,失眠,2
1545,憂鬱,5
1546,血絲,1
1547,蔓延,3
1548,造成,1
1549,眼圈,1
1550,與其,2
1551,消遣,1
1552,王子,2
1553,倒不如,1
1554,王子面,2
1555,抱歉,2
1556,幻覺,2
1557,錯覺,1
1558,算是,1
1559,體驗,3
1560,萬一,1
1561,殘念,1
1562,破恤,1
1563,同樣,1
1564,笛卡爾,1
1565,邏輯,2
1566,重新,5
1567,排列,1
1568,意大利式,1
1569,事物,1
1570,瞬間,13
1571,凡爾賽,1
1572,鮮艷,1
1573,威廉,1
1574,古堡,1
1575,旁邊,1
1576,不遠,1
1577,公主,2
1578,熬夜,1
1579,聊天,1
1580,爆肝,3
1581,沒關係,2
1582,逛街,2
1583,逛成,1
1584,扁平足,1
1585,感謝,6
1586,重生,2
1587,認識,1
1588,戀愛,10
1589,ing,13
1590,happy,6
1591,坐上,5
1592,噴射機,3
1593,黃昏,6
1594,心跳到,3
1595,勝過,2
1596,照進,1
1597,半夜,2
1598,載舟,1
1599,煮粥,1
1600,餵飽,1
1601,維他命,1
1602,某時,1
1603,某人,1
1604,煙花,1
1605,爆炸,3
1606,捨不得,2
1607,倒映,1
1608,火花,1
1609,相愛,3
1610,揮霍完,1
1611,可怕,1
1612,落下,2
1613,魔法,2
1614,增加,1
1615,鑽進,1
1616,佔據,4
1617,發芽,2
1618,吶喊,11
1619,算了,2
1620,代價,3
1621,金多蝦,5
1622,多謝,1
1623,多蝦,2
1624,十七,1
1625,變化,6
1626,大漢,1
1627,之後,9
1628,這麼多,1
1629,佳在,1
1630,挖心,1
1631,攻擊,2
1632,電話亭,1
1633,內褲,1
1634,展開,3
1635,披風,1
1636,飛行,1
1637,賜予,1
1638,無助,4
1639,能力,1
1640,阻擋,5
1641,拯救,6
1642,束手無策,2
1643,飛天,4
1644,遁地,1
1645,長驅直入,1
1646,讚美,2
1647,手臂,1
1648,日日夜夜,19
1649,貼身,1
1650,保護,5
1651,凶狠,1
1652,淚滴,4
1653,難堪,1
1654,超人,1
1655,救不,1
1656,眼看著,1
